17:43:07 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:43:31 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:43:35 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:44:03 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:47:21 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:47:22 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:47:22 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:47:47 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:47:51 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:48:19 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:48:40 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:48:41 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:48:41 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:49:06 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:49:09 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:49:37 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:52:24 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:52:25 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:52:25 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:52:51 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:52:54 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:53:22 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
17:54:36 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
17:54:36 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
17:54:36 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
17:55:01 [main] INFO  c.s.magento.pages.HomePage - user is on home page
17:55:04 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
17:55:32 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
14:20:54 [main] INFO  util.PropertyReader - Properties were read from atf.properties file
14:20:56 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 118.0.5993.70 (resolved driver for Chrome 118)
14:20:56 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\nluchian\.cache\selenium\chromedriver\win64\118.0.5993.70\chromedriver.exe
14:21:45 [main] INFO  c.s.magento.pages.HomePage - user is on home page
14:21:55 [main] INFO  c.s.magento.pages.SearchItemsPage - user is on search items page
14:22:30 [main] INFO  c.s.magento.pages.CartPage - user is on cart page
